{ l: 0, r: 0, arr: [ 4 ], sum: 4 }
{ l: 0, r: 1, arr: [ 4, 1 ], sum: 5 }
{ l: 0, r: 2, arr: [ 4, 1, 1 ], sum: 6 }
{ l: 1, r: 2, arr: [ 1, 1 ], sum: 3 }
{ l: 1, r: 3, arr: [ 1, 1, 1 ], sum: 4 }
{ l: 1, r: 4, arr: [ 1, 1, 1, 2 ], sum: 6 }
{ l: 2, r: 4, arr: [ 1, 1, 2 ], sum: 7 }
{ l: 3, r: 4, arr: [ 1, 2 ], sum: 8 }
{ l: 4, r: 4, arr: [ 2 ], sum: 9 }
{ l: 5, r: 4, arr: [], sum: 9 }
{ l: 6, r: 4, arr: [], sum: 8 }
{ l: 7, r: 4, arr: [], sum: 5 }
{ l: 7, r: 5, arr: [], sum: 8 }
{ l: 8, r: 5, arr: [], sum: NaN }
{ l: 9, r: 5, arr: [], sum: NaN }
{ l: 10, r: 5, arr: [], sum: NaN }
{ l: 11, r: 5, arr: [], sum: NaN }
{ l: 12, r: 5, arr: [], sum: NaN }
{ l: 13, r: 5, arr: [], sum: NaN }
{ l: 14, r: 5, arr: [], sum: NaN }
{ l: 15, r: 5, arr: [], sum: NaN }
{ l: 16, r: 5, arr: [], sum: NaN }
{ l: 17, r: 5, arr: [], sum: NaN }
{ l: 18, r: 5, arr: [], sum: NaN }
{ l: 19, r: 5, arr: [], sum: NaN }
{ l: 20, r: 5, arr: [], sum: NaN }
{ l: 21, r: 5, arr: [], sum: NaN }
{ l: 22, r: 5, arr: [], sum: NaN }
{ l: 23, r: 5, arr: [], sum: NaN }
{ l: 24, r: 5, arr: [], sum: NaN }
{ l: 25, r: 5, arr: [], sum: NaN }
{ l: 26, r: 5, arr: [], sum: NaN }
{ l: 27, r: 5, arr: [], sum: NaN }
{ l: 28, r: 5, arr: [], sum: NaN }
{ l: 29, r: 5, arr: [], sum: NaN }
{ l: 30, r: 5, arr: [], sum: NaN }
{ l: 31, r: 5, arr: [], sum: NaN }
{ l: 32, r: 5, arr: [], sum: NaN }
{ l: 33, r: 5, arr: [], sum: NaN }
{ l: 34, r: 5, arr: [], sum: NaN }
{ l: 35, r: 5, arr: [], sum: NaN }
{ l: 36, r: 5, arr: [], sum: NaN }
{ l: 37, r: 5, arr: [], sum: NaN }
{ l: 38, r: 5, arr: [], sum: NaN }
{ l: 39, r: 5, arr: [], sum: NaN }
{ l: 40, r: 5, arr: [], sum: NaN }
{ l: 41, r: 5, arr: [], sum: NaN }
{ l: 42, r: 5, arr: [], sum: NaN }
{ l: 43, r: 5, arr: [], sum: NaN }
{ l: 44, r: 5, arr: [], sum: NaN }
{ l: 45, r: 5, arr: [], sum: NaN }
{ l: 46, r: 5, arr: [], sum: NaN }
{ l: 47, r: 5, arr: [], sum: NaN }
{ l: 48, r: 5, arr: [], sum: NaN }
{ l: 49, r: 5, arr: [], sum: NaN }
{ l: 50, r: 5, arr: [], sum: NaN }
{ l: 51, r: 5, arr: [], sum: NaN }
{ l: 52, r: 5, arr: [], sum: NaN }
{ l: 53, r: 5, arr: [], sum: NaN }
{ l: 54, r: 5, arr: [], sum: NaN }
{ l: 55, r: 5, arr: [], sum: NaN }
{ l: 56, r: 5, arr: [], sum: NaN }
{ l: 57, r: 5, arr: [], sum: NaN }
{ l: 58, r: 5, arr: [], sum: NaN }
{ l: 59, r: 5, arr: [], sum: NaN }
{ l: 60, r: 5, arr: [], sum: NaN }
{ l: 61, r: 5, arr: [], sum: NaN }
{ l: 62, r: 5, arr: [], sum: NaN }
{ l: 63, r: 5, arr: [], sum: NaN }
{ l: 64, r: 5, arr: [], sum: NaN }
